timestamp,symbol,open,high,low,close,weighted_price,volume
2017-10-01 04:30:00+00,ETHUSD,299.57,300.31,299.50,300.00,299.99,554.13828528
2017-10-01 04:30:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,10410.38221400
2017-10-01 04:45:00+00,BTCUSD,4315.40,4316.20,4300.00,4304.60,4306.56,103.99676304
2017-10-01 04:45:00+00,ETHUSD,300.01,300.69,299.42,300.16,300.01,1029.22285257
2017-10-01 04:45:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,440.00000000
2017-10-01 05:00:00+00,BTCUSD,4304.60,4305.00,4289.00,4301.00,4297.04,232.97456573
2017-10-01 05:00:00+00,ETHUSD,299.99,300.01,299.00,299.32,299.48,279.35891520
2017-10-01 05:00:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,26582.48501211
2017-10-01 05:15:00+00,BTCUSD,4301.20,4315.00,4296.00,4315.00,4304.27,131.70143859
2017-10-01 05:15:00+00,ETHUSD,299.13,299.28,299.00,299.25,299.21,511.21447476
2017-10-01 05:15:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,16596.47173229
2017-10-01 05:30:00+00,BTCUSD,4315.00,4325.00,4299.90,4307.20,4310.47,444.78746372
2017-10-01 05:30:00+00,ETHUSD,299.25,299.89,299.00,299.06,299.58,659.72030057
2017-10-01 05:30:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,8378.88666510
2017-10-01 05:45:00+00,BTCUSD,4306.80,4319.80,4299.30,4317.90,4310.22,178.72413391
2017-10-01 05:45:00+00,ETHUSD,299.28,299.53,299.00,299.42,299.19,427.70600944
2017-10-01 05:45:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,4189.89780584
2017-10-01 06:00:00+00,BTCUSD,4316.20,4340.00,4315.70,4330.90,4327.90,326.65191992
2017-10-01 06:00:00+00,ETHUSD,299.46,301.04,299.29,300.21,300.32,771.68456382
2017-10-01 06:00:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,87236.30125496
